机型,网络,类型,版本,MD5,下载,大小,时间
魅蓝 5s,A（公开版）,出厂系统,Flyme 5.2.13.7A,b050b70f9731b79461486882ee05ea0b,https://firmware.meizu.com/Firmware/Flyme/m5s/5.2.13.7/cn/20171031100058/ee05ea0b/update.zip,1149MB,2017-11-07
魅蓝 5s,Q（电信版）,稳定版 推荐,Flyme 6.3.0.2Q,4f4092f910427befca59fcc617639e2a,https://firmware.meizu.com/Firmware/Flyme/m5s/6.3.0.2/tel/20180305192501/17639e2a/update.zip,1287MB,2018-03-07
魅蓝 5s,Q（电信版）,体验版,Flyme 6.8.1.26 beta,912aad97edd1beeb3dea5d22263136ea,https://firmware.meizu.com/Firmware/Flyme/m5s/6.8.1.26/cn_beta/20180126111637/263136ea/update.zip,1274MB,2018-01-26
魅蓝 5s,Q（电信版）,出厂系统,Flyme 5.2.13.7Q,fee36e6a13ac1d7febb712c661946727,http://firmware.meizu.com/Firmware/Flyme/m5s/5.2.13.7/tel/20170515073917/61946727/update.zip,1150MB,2017-05-24
魅蓝 5s,M（移动定制）,稳定版 推荐,Flyme 6.3.0.2M,069a2e51734f29b6d21dbe25fc5d3623,https://firmware.meizu.com/Firmware/Flyme/m5s/6.3.0.2/cmcc/20180307103437/fc5d3623/update.zip,1300MB,2018-03-07
魅蓝 5s,M（移动定制）,出厂系统,Flyme 5.2.13.4M,d6d491790ef27b46c2588e9e5e060348,http://firmware.meizu.com/Firmware/Flyme/m5s/5.2.13.4/cmcc/20170703054514/5e060348/update.zip,1186MB,2017-07-18
PRO 6 Plus,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,0c3a931417e55a7093bc575de0f1aa20,https://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/8.0.0.0/cn/20191202093116/e0f1aa20/update.zip,1557MB,2019-12-06
PRO 6 Plus,A（公开版）,稳定版 推荐,Flyme 7.3.0.0A 超级夜景尝鲜版,875e90c1417c57a4b916bc76819fa0f6,https://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/7.3.0.0/cn/20190529113319/819fa0f6/update.zip,1645MB,2019-05-30
PRO 6 Plus,A（公开版）,体验版,Flyme 7.8.7.24 beta,ca68fd58d324ff54a96f6df952719f71,https://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/7.8.7.24/cn_beta/20180719162346/52719f71/update.zip,1431MB,2018-07-24
PRO 6 Plus,A（公开版）,体验版,Flyme 7.8.7.10 beta,9b582c36230957958e32d70015306fcb,https://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/7.8.7.10/cn_beta/20180706171400/15306fcb/update.zip,1431MB,2018-07-10
PRO 6 Plus,A（公开版）,体验版,Flyme 6.7.7.1 beta,3b580540e9336a83725fbee907a706ff,https://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/6.7.7.1/cn_beta/20170920094015/07a706ff/update.zip,1216MB,2017-07-01
PRO 6 Plus,A（公开版）,出厂系统,Flyme 5.2.7.2A,e021b482227f8366783fc8a95b54222c,http://firmware.meizu.com/Firmware/Flyme/PRO6_Plus/5.2.7.2/cn/20170227103324/5b54222c/update.zip,1090MB,2017-03-04
